point_id,label,prefecture,elevation_m,slope_deg,local_relief_m,distance_to_volcano_km,distance_to_river_km,distance_to_lake_km,vegetation_naturalness,geology_group
p12-20-10025,1,長野県,805.0,6.91,95.8,27.7,0.052,10.297,8.0,堆積岩
p12-20-10026,1,長野県,851.7,12.74,51.7,37.73,0.36,2.918,2.0,堆積岩
p12-20-10027,1,長野県,713.7,11.43,99.5,28.35,0.207,7.761,6.0,堆積岩
p12-20-10029,1,長野県,510.7,25.55,132.0,33.23,0.202,5.036,7.0,堆積岩
p12-20-10060,1,長野県,654.3,14.39,90.1,33.35,0.074,1.968,7.0,火成岩
p12-20-10061,1,長野県,657.6,2.87,46.8,35.48,0.525,2.056,1.0,火成岩
p12-20-10062,1,長野県,1118.8,25.51,116.7,22.94,0.006,11.258,6.0,火成岩
p12-20-10064,1,長野県,1084.2,28.74,116.2,10.05,0.045,2.551,6.0,付加体
p12-20-10068,1,長野県,1405.3,21.6,142.1,6.83,0.076,4.17,7.0,付加体
p12-20-10092,1,長野県,832.3,25.55,113.1,18.77,0.099,8.091,7.0,堆積岩
p12-20-10098,1,長野県,580.1,4.84,54.5,32.76,0.014,8.951,7.0,堆積岩
p12-20-10099,1,長野県,530.4,1.04,11.4,24.4,0.195,4.906,2.0,堆積岩
p12-20-10101,1,長野県,999.7,9.61,165.2,15.27,0.03,5.544,7.0,火成岩
p12-20-10116,1,長野県,363.7,10.67,71.7,59.08,0.001,20.017,2.0,火成岩
p12-20-10121,1,長野県,401.3,2.08,13.6,72.46,0.064,13.475,7.0,堆積岩
p12-20-10143,1,長野県,686.0,22.2,129.6,18.77,0.017,8.95,2.0,堆積岩
p12-20-10147,1,長野県,397.8,1.69,10.1,17.69,0.114,16.022,1.0,堆積岩
p12-20-10152,1,長野県,673.8,8.6,63.2,14.43,0.679,7.248,7.0,堆積岩
p12-20-10173,1,長野県,761.2,3.65,20.1,36.92,0.131,0.04,2.0,堆積岩
p12-20-10185,1,長野県,846.8,4.85,46.9,41.72,0.087,0.777,9.0,堆積岩
p12-20-10186,1,長野県,867.8,3.38,23.2,40.36,0.083,0.777,6.0,堆積岩
p12-20-10199,1,長野県,834.9,7.83,43.6,17.48,0.701,4.879,6.0,堆積岩
p12-20-10206,1,長野県,417.7,6.48,29.1,25.39,0.132,4.457,2.0,堆積岩
p12-20-10219,1,長野県,317.3,7.68,33.2,27.57,0.132,3.339,2.0,堆積岩
p12-20-10221,1,長野県,1419.9,0.37,14.5,7.62,0.209,0.053,,火成岩
p12-20-10222,1,長野県,1119.8,2.93,19.0,11.05,0.122,4.647,6.0,火成岩
p12-20-10241,1,長野県,679.2,2.68,16.2,19.15,0.512,0.794,2.0,堆積岩
p12-20-10242,1,長野県,926.7,4.35,54.7,12.17,0.198,5.547,6.0,堆積岩
p12-20-10243,1,長野県,723.4,13.84,50.1,19.39,0.202,2.156,7.0,堆積岩
p12-20-10263,1,長野県,378.3,0.74,3.7,34.65,0.057,7.01,1.0,堆積岩
p12-20-10277,1,長野県,607.3,3.3,16.6,26.31,0.072,18.273,2.0,堆積岩
p12-20-10278,1,長野県,781.3,2.39,67.0,23.35,0.517,15.043,3.0,付加体
p12-20-10279,1,長野県,763.9,8.83,52.6,23.36,0.095,17.638,4.0,堆積岩
p12-20-10285,1,長野県,1270.6,2.0,48.2,11.26,0.604,1.145,6.0,火成岩
p12-20-10320,1,長野県,697.9,10.37,83.4,36.75,0.03,13.39,7.0,堆積岩
p12-20-10321,1,長野県,661.2,8.75,87.8,34.56,0.19,12.794,7.0,堆積岩
p12-20-10330,1,長野県,1196.6,4.55,17.4,14.5,0.37,6.677,7.0,火成岩
p12-20-10337,1,長野県,852.4,13.26,55.7,36.41,0.713,6.757,6.0,堆積岩
p12-20-10345,1,長野県,614.7,5.7,30.9,51.04,0.151,3.852,2.0,堆積岩
p12-20-10349,1,長野県,733.3,4.21,17.2,42.37,0.295,2.391,7.0,堆積岩
p12-20-10350,1,長野県,707.6,3.98,44.9,47.53,0.12,8.872,7.0,堆積岩
p12-20-10352,1,長野県,661.9,6.24,65.5,50.07,0.094,14.026,7.0,堆積岩
p12-20-10353,1,長野県,665.3,9.12,77.9,50.11,0.128,14.061,3.0,堆積岩
p12-20-10356,1,長野県,537.7,12.67,148.1,67.36,0.071,9.415,7.0,火成岩
p12-20-10357,1,長野県,588.9,11.94,66.9,53.26,0.147,19.679,2.0,火成岩
p12-20-10366,1,長野県,1027.1,9.88,81.4,58.78,0.048,14.268,6.0,火成岩
p12-20-10367,1,長野県,918.2,2.53,53.2,64.64,0.039,10.497,2.0,火成岩
p12-20-10373,1,長野県,552.5,2.85,48.0,60.4,0.628,16.582,7.0,堆積岩
p12-20-10374,1,長野県,471.3,2.94,63.4,59.98,0.33,17.564,7.0,堆積岩
p12-20-10375,1,長野県,510.6,1.39,44.0,60.23,0.606,17.294,7.0,堆積岩
p12-20-10377,1,長野県,837.6,9.85,74.7,71.64,0.141,2.847,7.0,堆積岩
p12-20-10379,1,長野県,607.8,4.36,140.2,76.58,0.027,4.275,6.0,変成岩
p12-20-10394,1,長野県,921.8,6.53,60.5,40.19,0.344,15.257,,堆積岩
p12-20-10397,1,長野県,656.8,41.39,105.7,39.0,0.19,10.979,7.0,火成岩
p12-20-10416,1,長野県,607.3,2.36,15.1,28.94,0.047,12.465,2.0,堆積岩
p12-20-10425,1,長野県,852.9,8.67,47.5,22.32,0.235,16.398,5.0,堆積岩
p12-20-10429,1,長野県,884.2,19.73,159.1,8.15,0.169,6.841,8.0,堆積岩
p12-20-10430,1,長野県,993.9,10.76,112.7,7.44,0.124,6.458,9.0,堆積岩
p12-20-10431,1,長野県,478.1,39.51,233.1,14.81,0.281,14.511,8.0,火成岩
p12-20-10432,1,長野県,260.1,13.68,80.8,15.67,0.081,17.494,8.0,火成岩
p12-20-10433,1,長野県,474.9,3.24,39.2,17.66,0.109,14.877,8.0,火成岩
p12-20-10434,1,長野県,876.5,6.62,52.0,20.93,1.15,17.621,5.0,火成岩
p12-20-10435,1,長野県,846.3,6.86,36.1,23.95,0.194,14.8,8.0,堆積岩
p12-20-10438,1,長野県,480.6,12.03,62.5,32.03,0.331,10.211,2.0,堆積岩
p12-20-10441,1,長野県,879.1,10.76,98.1,9.63,0.106,14.658,8.0,火成岩
p12-20-10443,1,長野県,628.9,6.11,75.8,14.3,0.345,17.928,1.0,堆積岩
p12-20-10444,1,長野県,628.9,6.11,75.8,14.3,0.345,17.928,1.0,堆積岩
p12-20-10450,1,長野県,685.6,7.74,87.5,25.6,0.008,4.423,4.0,火成岩
p12-20-10451,1,長野県,566.3,7.29,42.6,29.9,0.191,2.527,2.0,堆積岩
p12-20-10468,1,長野県,844.5,4.05,13.9,17.59,0.082,0.06,5.0,堆積岩
p12-20-10474,1,長野県,804.7,19.26,95.6,21.06,0.005,11.224,4.0,火成岩
p12-21-10007,1,岐阜県,20.1,0.48,1.9,79.3,0.206,15.233,1.0,堆積岩
p12-21-10074,1,岐阜県,915.9,2.05,83.4,4.44,0.062,15.184,8.0,火成岩
p12-21-10078,1,岐阜県,1232.3,4.92,71.6,7.79,0.181,12.593,8.0,付加体
p12-21-10086,1,岐阜県,824.3,10.56,56.7,23.01,0.056,3.945,2.0,堆積岩
p12-21-10100,1,岐阜県,1001.8,14.59,114.4,9.6,0.141,0.643,8.0,付加体
p12-21-10105,1,岐阜県,637.1,5.81,78.3,35.98,0.094,11.857,6.0,堆積岩
p12-21-10111,1,岐阜県,820.2,11.36,91.4,6.25,0.163,16.52,2.0,火成岩
p12-21-10141,1,岐阜県,181.3,11.02,38.2,52.04,0.126,17.022,7.0,付加体
p12-21-10142,1,岐阜県,343.9,1.65,48.0,46.74,0.086,12.93,7.0,付加体
p12-21-10146,1,岐阜県,84.1,6.47,38.7,68.93,0.342,12.831,2.0,付加体
p12-21-10181,1,岐阜県,454.8,4.04,53.7,43.53,0.087,9.619,2.0,堆積岩
p12-21-10182,1,岐阜県,528.5,2.28,70.6,24.97,0.287,12.187,2.0,堆積岩
p12-21-10183,1,岐阜県,424.3,12.06,79.7,40.62,0.385,5.675,7.0,火成岩
p12-21-10184,1,岐阜県,332.3,3.43,36.3,42.19,0.565,5.649,7.0,火成岩
p12-21-10185,1,岐阜県,290.8,5.45,52.2,45.79,0.204,7.064,7.0,火成岩
p12-21-10186,1,岐阜県,336.3,1.94,14.5,37.07,0.322,2.436,2.0,堆積岩
p12-21-10268,1,岐阜県,2.6,0.31,1.0,100.03,0.515,18.26,2.0,堆積岩
p12-21-10269,1,岐阜県,2.7,0.13,0.9,100.13,0.585,18.293,2.0,堆積岩
p12-21-10292,1,岐阜県,486.8,3.51,28.3,60.16,0.021,5.71,6.0,堆積岩
p12-21-10293,1,岐阜県,466.8,8.65,82.4,70.32,0.134,3.344,7.0,火成岩
p12-21-10340,1,岐阜県,433.3,11.16,47.9,69.25,0.397,13.643,7.0,堆積岩
p12-21-10379,1,岐阜県,126.9,4.98,37.1,66.66,0.071,8.255,7.0,付加体
p12-21-10380,1,岐阜県,61.2,7.2,16.0,67.52,0.08,7.607,2.0,付加体
p12-21-10403,1,岐阜県,740.3,11.56,50.3,31.74,0.482,19.977,6.0,堆積岩
p12-21-10410,1,岐阜県,447.9,6.26,25.3,33.95,0.123,8.808,2.0,変成岩
p12-21-10420,1,岐阜県,245.4,5.16,25.5,57.47,0.241,13.03,6.0,付加体
p12-21-10435,1,岐阜県,903.6,5.53,63.4,26.99,0.967,12.135,6.0,火成岩
p12-21-10442,1,岐阜県,435.2,1.19,10.5,33.23,0.446,8.931,2.0,堆積岩
p12-21-10445,1,岐阜県,557.7,15.8,48.1,24.42,0.044,12.256,7.0,火成岩
p12-21-10448,1,岐阜県,970.0,10.29,55.7,21.33,0.188,9.79,6.0,火成岩
p12-21-10451,1,岐阜県,202.2,3.62,25.7,50.8,0.075,18.479,7.0,付加体
p12-21-10453,1,岐阜県,749.8,9.47,48.4,36.19,0.088,15.971,6.0,付加体
p12-21-10454,1,岐阜県,956.3,2.64,28.4,23.53,0.154,7.401,7.0,火成岩
p12-21-10457,1,岐阜県,128.9,8.81,59.8,56.18,0.073,22.503,6.0,
p12-21-10459,1,岐阜県,288.0,1.63,50.1,39.44,0.142,12.781,2.0,堆積岩
p12-21-10473,1,岐阜県,636.7,4.71,122.2,24.58,0.089,11.311,7.0,火成岩
p12-21-10492,1,岐阜県,377.6,13.9,54.5,23.44,0.083,5.036,7.0,堆積岩
p12-21-10493,1,岐阜県,640.8,14.45,70.0,14.45,0.069,9.727,,堆積岩
p12-21-10495,1,岐阜県,239.6,1.09,44.1,39.16,0.177,10.348,6.0,付加体
p12-21-10496,1,岐阜県,516.7,16.45,65.6,24.54,0.03,14.676,7.0,堆積岩
p12-21-10498,1,岐阜県,362.2,2.36,28.8,23.63,0.118,4.945,1.0,堆積岩
p12-21-10504,1,岐阜県,365.1,1.43,7.3,23.66,0.086,4.815,7.0,堆積岩
p12-21-10512,1,岐阜県,372.2,14.79,60.0,23.53,0.118,4.92,7.0,堆積岩
p12-21-10514,1,岐阜県,503.6,10.32,89.2,27.44,0.163,2.571,1.0,堆積岩
p12-21-10519,1,岐阜県,235.3,2.52,16.0,39.02,0.056,10.305,6.0,付加体
p12-21-10524,1,岐阜県,125.5,23.56,131.2,105.96,0.257,11.064,1.0,付加体
p12-21-10525,1,岐阜県,0.2,0.14,1.1,108.86,0.48,17.48,2.0,堆積岩
p12-21-10547,1,岐阜県,8.8,0.15,1.7,97.2,0.161,9.307,2.0,堆積岩
p12-21-10567,1,岐阜県,5.8,0.18,0.9,91.76,0.739,16.439,9.0,堆積岩
p12-21-10573,1,岐阜県,144.2,11.13,110.7,80.57,0.066,7.356,6.0,付加体
p12-21-10577,1,岐阜県,159.2,6.79,71.8,69.98,0.114,1.847,6.0,付加体
p12-21-10583,1,岐阜県,419.2,4.37,110.8,74.15,0.006,5.579,7.0,火成岩
p12-21-10592,1,岐阜県,75.6,4.36,29.6,70.28,0.117,6.242,2.0,堆積岩
p12-21-10600,1,岐阜県,85.4,1.8,35.5,71.4,0.105,9.157,7.0,堆積岩
p12-21-10612,1,岐阜県,72.0,6.49,56.4,84.04,0.053,6.455,6.0,付加体
p12-21-10613,1,岐阜県,58.3,3.99,42.4,83.98,0.019,6.521,6.0,付加体
p12-21-10659,1,岐阜県,616.4,9.83,53.0,11.97,0.222,3.963,2.0,火成岩
p12-22-10030,1,静岡県,508.1,9.76,102.3,45.8,0.023,3.867,6.0,付加体
p12-22-10031,1,静岡県,878.4,4.52,111.4,48.59,0.162,1.97,7.0,付加体
p12-22-10032,1,静岡県,315.4,8.27,47.9,53.49,0.029,10.566,6.0,付加体
p12-22-10033,1,静岡県,729.9,3.24,66.6,36.19,0.097,9.13,7.0,付加体
p12-22-10089,1,静岡県,43.6,4.6,73.6,51.38,0.411,33.432,8.0,堆積岩
p12-22-10138,1,静岡県,145.0,4.87,67.2,37.73,0.08,18.852,6.0,堆積岩
p12-22-10156,1,静岡県,1.8,0.61,3.6,38.17,0.119,24.552,1.0,堆積岩
p12-22-10222,1,静岡県,17.6,2.51,26.1,116.39,0.438,2.746,1.0,堆積岩
p12-22-10258,1,静岡県,4.8,0.06,5.2,124.69,0.115,0.09,,その他
p12-22-10262,1,静岡県,8.9,1.93,12.7,121.28,0.58,0.129,6.0,堆積岩
p12-22-10301,1,静岡県,3.1,0.35,1.4,115.79,0.086,1.457,1.0,堆積岩
p12-22-10302,1,静岡県,3.1,0.35,1.4,115.79,0.086,1.457,1.0,堆積岩
p12-22-10338,1,静岡県,117.4,6.11,42.8,104.79,0.162,5.448,6.0,堆積岩
p12-22-10363,1,静岡県,108.9,9.99,106.3,91.96,0.021,0.079,,変成岩
p12-22-10430,1,静岡県,8.0,1.94,58.5,29.49,0.034,15.754,1.0,堆積岩
p12-22-10508,1,静岡県,70.8,4.01,39.8,15.34,0.911,10.797,1.0,火成岩
p12-22-10613,1,静岡県,521.0,1.56,31.5,12.1,0.484,9.656,6.0,火成岩
p12-22-10622,1,静岡県,555.9,3.5,22.3,12.73,0.016,3.107,6.0,火成岩
p12-22-10625,1,静岡県,182.5,3.17,14.7,16.82,0.623,10.169,2.0,火成岩
p12-22-10631,1,静岡県,147.6,10.36,64.7,21.13,0.029,2.715,6.0,堆積岩
p12-22-10736,1,静岡県,49.7,0.27,1.7,76.37,0.172,34.741,1.0,堆積岩
p12-22-10746,1,静岡県,153.0,8.66,58.7,75.25,0.297,30.712,6.0,付加体
p12-22-10748,1,静岡県,147.8,1.01,61.5,73.19,0.258,23.514,6.0,堆積岩
p12-22-10778,1,静岡県,6.6,0.42,2.8,23.98,0.024,19.732,1.0,堆積岩
p12-22-10780,1,静岡県,82.4,2.57,15.3,19.41,0.116,15.1,1.0,火成岩
p12-22-10817,1,静岡県,2.9,0.0,0.7,109.93,0.025,15.596,2.0,堆積岩
p12-22-10900,1,静岡県,1.7,0.39,1.9,66.13,0.033,37.581,1.0,堆積岩
p12-22-10906,1,静岡県,1.6,0.59,3.3,65.4,0.39,37.34,1.0,堆積岩
p12-22-10914,1,静岡県,2.4,0.36,2.6,65.51,0.285,37.195,1.0,堆積岩
p12-22-10935,1,静岡県,192.0,3.12,52.2,84.28,0.034,18.092,6.0,付加体
p12-22-10949,1,静岡県,5.3,0.25,7.5,98.07,0.112,34.669,10.0,堆積岩
p12-22-10995,1,静岡県,114.9,3.58,51.0,67.69,0.081,30.596,2.0,堆積岩
p12-22-11026,1,静岡県,39.9,2.46,47.8,70.96,0.149,37.139,2.0,付加体
p12-22-11047,1,静岡県,440.9,0.9,4.4,10.04,0.275,1.254,1.0,火成岩
p12-22-11048,1,静岡県,639.4,4.13,30.6,14.54,0.949,8.061,7.0,火成岩
p12-22-11049,1,静岡県,535.4,14.09,48.9,8.07,0.897,0.86,6.0,堆積岩
p12-22-11050,1,静岡県,598.7,11.79,72.1,7.66,1.14,1.314,6.0,火成岩
p12-22-11051,1,静岡県,319.6,9.07,41.8,8.64,0.036,5.255,6.0,火成岩
p12-22-11115,1,静岡県,20.5,0.63,13.8,101.5,0.382,20.57,2.0,堆積岩
p12-22-11205,1,静岡県,469.7,1.67,12.2,13.62,0.499,8.94,1.0,火成岩
p12-22-11207,1,静岡県,180.3,10.94,61.6,9.65,0.018,5.906,6.0,火成岩
p12-22-11240,1,静岡県,101.1,5.11,26.4,17.19,0.042,3.09,1.0,堆積岩
p12-22-11250,1,静岡県,94.6,4.06,46.9,16.95,0.023,2.875,1.0,堆積岩
p12-22-11251,1,静岡県,31.9,3.39,33.3,16.88,0.231,3.713,,堆積岩
p12-22-11260,1,静岡県,14.6,2.3,92.9,27.08,0.252,15.141,6.0,堆積岩
p12-22-11266,1,静岡県,111.5,8.25,75.6,15.04,0.039,3.096,6.0,堆積岩
p12-22-11272,1,静岡県,262.4,6.68,24.4,12.66,0.536,3.751,6.0,火成岩
p12-22-11273,1,静岡県,472.7,3.11,39.6,7.74,0.789,4.473,1.0,火成岩
p12-22-11276,1,静岡県,6.6,10.82,59.6,28.03,0.362,15.877,6.0,堆積岩
p12-22-11289,1,静岡県,1.1,0.96,4.5,27.78,0.277,15.871,6.0,堆積岩
p12-22-11290,1,静岡県,17.7,2.3,50.0,26.81,0.051,14.968,7.0,堆積岩
p12-22-11386,1,静岡県,23.9,0.29,2.1,20.53,0.03,8.182,1.0,堆積岩
p12-22-11399,1,静岡県,14.0,0.54,3.5,20.77,0.219,9.359,2.0,堆積岩
p12-22-11400,1,静岡県,14.8,0.32,1.8,20.43,0.273,9.201,2.0,堆積岩
p12-22-11401,1,静岡県,24.2,1.59,10.7,20.84,0.055,8.689,1.0,堆積岩
p12-22-11403,1,静岡県,19.9,0.7,28.3,20.44,0.202,8.273,1.0,堆積岩
p12-22-11431,1,静岡県,49.7,3.22,37.1,86.72,0.122,36.056,2.0,堆積岩
p12-22-11459,1,静岡県,14.0,14.5,119.8,7.91,0.887,10.726,3.0,火成岩
p12-22-11465,1,静岡県,4.6,,105.2,9.65,0.19,12.466,3.0,
p12-22-11482,1,静岡県,3.6,10.9,43.7,7.13,0.102,9.95,3.0,火成岩
p12-22-11489,1,静岡県,3.3,7.69,53.2,18.46,0.152,20.517,7.0,堆積岩
p12-22-11490,1,静岡県,12.9,0.71,4.3,19.0,0.063,20.567,2.0,堆積岩
p12-22-11495,1,静岡県,219.8,11.94,66.3,16.04,0.548,17.914,6.0,堆積岩
p12-22-11517,1,静岡県,4.4,0.15,0.5,35.01,0.009,35.681,7.0,堆積岩
p12-22-11518,1,静岡県,9.3,0.9,38.0,35.46,0.035,34.98,1.0,堆積岩
p12-22-11532,1,静岡県,27.9,1.49,41.0,29.43,0.041,24.825,1.0,火成岩
p12-22-11561,1,静岡県,25.1,7.65,58.8,33.15,0.969,26.195,9.0,火成岩
p12-22-11562,1,静岡県,17.1,8.0,74.5,32.86,1.848,25.203,5.0,火成岩
p12-22-11563,1,静岡県,0.5,0.36,1.9,32.83,0.192,26.388,,堆積岩
p12-22-11568,1,静岡県,8.7,0.43,41.4,31.4,0.038,25.123,1.0,堆積岩
p12-22-11580,1,静岡県,2.9,0.52,2.7,32.63,0.084,26.104,7.0,堆積岩
p12-22-11583,1,静岡県,144.0,11.25,114.9,26.5,0.142,19.637,6.0,火成岩
p12-22-11586,1,静岡県,15.8,5.18,9.4,17.9,0.149,13.031,2.0,堆積岩
p12-22-11612,1,静岡県,855.0,4.67,49.8,11.95,0.234,4.563,2.0,堆積岩
p12-22-11617,1,静岡県,408.1,6.72,36.0,11.39,0.351,4.155,2.0,火成岩
p12-22-11644,1,静岡県,546.6,6.77,99.6,59.12,0.011,10.281,6.0,付加体
p12-22-11645,1,静岡県,481.1,16.73,59.6,52.98,0.148,4.401,6.0,堆積岩
p12-22-11646,1,静岡県,347.4,24.3,79.1,58.17,0.064,10.52,2.0,付加体
p12-24-10007,1,三重県,24.2,1.72,8.4,157.17,0.154,7.82,2.0,堆積岩
p12-24-10011,1,三重県,41.1,3.15,15.0,167.92,0.504,7.466,6.0,堆積岩
p12-24-10016,1,三重県,191.5,17.98,157.6,178.38,0.22,10.409,7.0,火成岩
p12-24-10029,1,三重県,69.9,0.86,19.9,165.14,0.024,10.826,2.0,堆積岩
p12-24-10039,1,三重県,161.5,1.93,30.4,168.15,0.135,13.635,2.0,堆積岩
p12-24-10047,1,三重県,173.7,16.32,94.2,183.43,0.067,10.077,2.0,堆積岩
p12-24-10099,1,三重県,246.0,4.04,99.2,203.53,0.053,1.283,6.0,堆積岩
p12-24-10120,1,三重県,142.7,2.57,26.8,193.49,0.114,12.482,6.0,堆積岩
p12-24-10127,1,三重県,0.1,0.34,4.2,111.61,0.534,22.025,10.0,堆積岩
p12-24-10177,1,三重県,200.7,2.8,17.3,180.54,0.531,2.953,1.0,堆積岩
p12-24-10191,1,三重県,37.4,10.81,48.2,234.01,0.207,5.554,,堆積岩
p12-24-10234,1,三重県,110.5,15.27,96.5,255.56,0.327,10.922,3.0,火成岩
p12-24-10240,1,三重県,65.4,4.06,106.8,267.06,0.014,14.881,8.0,堆積岩
p12-24-10243,1,三重県,52.4,6.2,54.8,266.06,0.093,13.703,,堆積岩
p12-24-10244,1,三重県,51.0,4.62,55.8,260.2,0.54,12.032,3.0,付加体
p12-24-10250,1,三重県,86.2,3.7,17.6,114.36,0.371,10.331,1.0,堆積岩
p12-24-10263,1,三重県,4.8,0.51,4.2,183.77,0.107,45.922,1.0,堆積岩
p12-24-10267,1,三重県,4.8,0.51,4.2,183.77,0.107,45.922,1.0,堆積岩
p12-24-10278,1,三重県,4.8,0.51,4.2,183.77,0.107,45.922,1.0,堆積岩
p12-24-10284,1,三重県,4.8,5.27,15.8,189.62,0.695,43.034,8.0,付加体
p12-24-10286,1,三重県,179.1,2.31,11.2,165.17,0.865,10.883,7.0,堆積岩
p12-24-10300,1,三重県,325.6,7.8,47.9,159.39,0.268,3.251,6.0,堆積岩
p12-24-10311,1,三重県,135.1,6.1,36.0,166.19,0.124,11.996,10.0,火成岩
p12-24-10320,1,三重県,0.0,0.0,0.1,114.69,0.673,30.868,2.0,その他
p12-24-10334,1,三重県,360.4,23.09,95.4,130.06,0.021,23.702,9.0,火成岩
p12-24-10338,1,三重県,1.2,0.21,1.3,120.57,0.305,28.717,2.0,堆積岩
p12-24-10353,1,三重県,124.3,6.15,38.5,199.49,0.065,12.781,6.0,堆積岩
p12-24-10359,1,三重県,57.0,7.01,20.7,178.0,0.139,19.253,6.0,堆積岩
p12-24-10378,1,三重県,8.9,0.5,31.3,217.97,0.042,9.206,8.0,付加体
p12-25-10008,1,滋賀県,125.4,3.63,19.4,126.89,0.227,1.518,7.0,堆積岩
p12-25-10014,1,滋賀県,88.2,0.33,4.1,142.55,0.482,0.059,7.0,
p12-25-10015,1,滋賀県,88.2,0.33,4.1,142.55,0.482,0.059,7.0,
p12-25-10016,1,滋賀県,112.5,2.47,39.7,142.67,0.547,0.271,7.0,堆積岩
p12-25-10017,1,滋賀県,95.7,8.93,22.6,142.77,0.406,0.197,7.0,堆積岩
p12-25-10018,1,滋賀県,105.0,7.91,25.0,142.71,0.474,0.201,7.0,堆積岩
p12-25-10019,1,滋賀県,88.4,0.77,5.2,142.84,0.241,0.061,7.0,堆積岩
p12-25-10287,1,滋賀県,197.0,1.67,6.5,147.99,0.063,11.979,2.0,堆積岩
p12-25-10296,1,滋賀県,180.4,1.17,7.1,147.58,0.059,16.53,2.0,堆積岩
p12-25-10297,1,滋賀県,182.3,2.34,10.1,147.24,0.236,17.287,2.0,堆積岩
p12-25-10328,1,滋賀県,275.1,1.0,4.5,153.58,0.06,17.729,7.0,堆積岩
p12-25-10346,1,滋賀県,217.8,4.87,63.2,140.42,0.382,15.168,7.0,火成岩
p12-25-10359,1,滋賀県,156.9,5.55,42.4,98.01,0.089,4.987,7.0,堆積岩
p12-25-10411,1,滋賀県,193.0,3.6,18.7,92.79,0.554,9.214,2.0,堆積岩
p12-25-10449,1,滋賀県,135.2,2.14,17.8,136.01,0.104,11.809,2.0,堆積岩
p12-26-10049,1,京都府,44.2,8.73,40.0,175.12,0.155,27.441,2.0,堆積岩
p12-26-10050,1,京都府,45.6,4.26,37.2,175.29,0.377,28.099,2.0,堆積岩
p12-26-10122,1,京都府,203.1,6.43,80.2,148.36,0.138,12.115,7.0,付加体
p12-26-10123,1,京都府,36.5,1.86,8.6,166.74,0.292,19.319,2.0,堆積岩
p12-26-10178,1,京都府,44.4,6.13,63.2,152.6,1.967,3.292,7.0,火成岩
p12-26-10179,1,京都府,4.0,0.82,21.9,157.8,0.282,0.03,,堆積岩
p12-26-10180,1,京都府,4.2,2.01,42.6,157.62,0.177,0.171,7.0,堆積岩
p12-26-10181,1,京都府,9.4,0.49,59.8,158.11,0.715,0.08,,堆積岩
p12-26-10188,1,京都府,6.2,0.29,26.2,157.79,0.214,0.137,7.0,堆積岩
p12-26-10191,1,京都府,174.1,9.58,100.6,169.74,0.705,10.456,7.0,付加体
p12-26-10321,1,京都府,73.5,3.01,49.0,163.55,0.503,5.189,7.0,堆積岩
p12-26-10322,1,京都府,4.8,0.0,30.2,171.43,0.221,4.384,1.0,堆積岩
p12-26-10323,1,京都府,1.2,4.19,8.5,171.39,0.106,4.743,1.0,火成岩
p12-26-10325,1,京都府,0.8,2.25,4.8,165.33,0.34,0.774,6.0,堆積岩
p12-26-10328,1,京都府,,,,162.32,0.365,1.859,,
p12-26-10330,1,京都府,18.3,7.92,65.0,166.47,0.142,1.947,1.0,火成岩
p12-26-10339,1,京都府,7.9,4.43,17.5,157.09,0.18,7.576,7.0,火成岩
p12-26-10340,1,京都府,26.9,17.77,22.7,150.21,0.386,13.906,2.0,火成岩
p12-26-10344,1,京都府,16.4,2.19,18.7,161.62,0.122,3.657,7.0,堆積岩
p12-26-10356,1,京都府,8.1,1.99,11.5,179.85,0.179,0.604,7.0,堆積岩
p12-26-10370,1,京都府,154.2,4.87,104.8,158.9,0.087,0.482,7.0,付加体
p12-26-10377,1,京都府,472.2,20.79,96.5,175.35,0.012,0.491,7.0,火成岩
p12-26-10525,1,京都府,44.8,0.52,19.6,172.94,0.047,12.594,7.0,変成岩
p12-26-10572,1,京都府,63.2,7.28,81.3,142.26,1.043,17.015,7.0,火成岩
p12-26-10587,1,京都府,16.6,7.15,49.6,159.49,0.678,0.573,7.0,堆積岩
p12-26-10589,1,京都府,34.2,9.99,70.3,159.38,0.583,0.623,7.0,堆積岩
p12-26-10590,1,京都府,4.7,0.33,5.4,159.18,0.316,0.031,7.0,堆積岩
p12-26-10597,1,京都府,73.7,9.93,55.7,168.0,0.029,9.211,7.0,堆積岩
p12-28-10015,1,兵庫県,387.2,11.97,48.7,204.53,0.107,2.502,7.0,堆積岩
p12-28-10017,1,兵庫県,378.9,5.82,32.2,204.52,0.066,2.472,7.0,堆積岩
p12-28-10018,1,兵庫県,400.6,11.06,81.1,204.55,0.244,2.579,7.0,堆積岩
p12-28-10106,1,兵庫県,6.2,2.52,35.2,226.44,0.863,49.952,10.0,堆積岩
p12-28-10165,1,兵庫県,7.3,2.65,64.2,186.16,0.011,7.007,7.0,堆積岩
p12-28-10173,1,兵庫県,82.0,13.83,53.2,180.26,0.071,17.202,7.0,火成岩
p12-28-10191,1,兵庫県,1.1,0.81,3.9,189.07,0.093,11.89,,
p12-28-10192,1,兵庫県,343.0,3.36,22.2,190.47,0.551,23.038,6.0,火成岩
p12-28-10193,1,兵庫県,265.8,10.96,88.3,190.19,0.297,24.709,7.0,堆積岩
p12-28-10194,1,兵庫県,19.7,0.58,52.0,188.77,0.027,16.411,7.0,火成岩
p12-28-10195,1,兵庫県,82.0,13.83,53.2,180.26,0.071,17.202,7.0,火成岩
